	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	1	2	3	4	5	6	7	8	9	10
										
own_happiness	0.382***	0.435***	0.517***	0.442***	0.735***	0.529***	0.310***	0.528***	0.355***	0.271***
	(0.0308)	(0.0312)	(0.0317)	(0.0311)	(0.0356)	(0.0360)	(0.0321)	(0.0329)	(0.0293)	(0.0304)
family_s_happiness	0.0685**	0.0122	0.163***	0.0485	0.159	0.146**	-0.0920*	0.0466	0.143***	0.206***
	(0.0322)	(0.0706)	(0.0460)	(0.0407)	(0.159)	(0.0589)	(0.0529)	(0.0496)	(0.0375)	(0.0408)
health	-0.0537	-0.0716	-0.110	-0.0388	0.0548	0.0629	0.181***	0.0502	-0.0297	-0.0571
	(0.0545)	(0.0759)	(0.0769)	(0.0576)	(0.0654)	(0.0753)	(0.0540)	(0.0566)	(0.0436)	(0.0632)
romantic_life	0.0783	-0.0224	0.0651	-0.00496	-0.670***	-0.0971	0.0232	-0.0345	0.00779	0.0102
	(0.0590)	(0.0637)	(0.0781)	(0.0660)	(0.228)	(0.0858)	(0.0539)	(0.0681)	(0.0533)	(0.0723)
social_life	-0.0213	0.0216	-0.0112	0.000481	0.0211	0.0429	-0.00326	-0.0541	-0.0433	0.0149
	(0.0550)	(0.0435)	(0.0564)	(0.0580)	(0.225)	(0.0712)	(0.0652)	(0.0535)	(0.0531)	(0.0535)
control_over_your_life	0.0215	0.0535	0.0374	0.0839**	-0.00241	0.0746	0.153***	0.0520	0.0608	0.0718**
	(0.0424)	(0.0526)	(0.0560)	(0.0390)	(0.0933)	(0.0517)	(0.0432)	(0.0490)	(0.0385)	(0.0348)
life_s_level_of_spirituality	-0.0437	-0.00329	-0.160*	0.132**	0.310	-0.148	-0.0124	-0.147**	-0.00470	-0.00852
	(0.0492)	(0.0612)	(0.0903)	(0.0548)	(0.221)	(0.0912)	(0.0762)	(0.0624)	(0.0537)	(0.0681)
life_s_level_of_fun	0.0619	0.153***	0.0426	0.0455	-0.0803	0.130*	-0.0333	0.0288	0.0578	-0.00245
	(0.0425)	(0.0513)	(0.0664)	(0.0473)	(0.127)	(0.0681)	(0.0726)	(0.0591)	(0.0570)	(0.0569)
social_status	-0.000522	0.0448	0.0528	0.0367	-0.271	-0.0146	0.0631	0.112*	0.0617**	0.159***
	(0.0355)	(0.0450)	(0.0405)	(0.0356)	(0.227)	(0.0612)	(0.0589)	(0.0597)	(0.0289)	(0.0433)
life_s_non_boringness	0.0452	-0.0297	0.215***	-0.00517	0.0863	-0.0281	0.178***	-0.0472	-0.0186	0.0453
	(0.0367)	(0.0543)	(0.0777)	(0.0469)	(0.121)	(0.0597)	(0.0618)	(0.0609)	(0.0548)	(0.0546)
physical_comfort	0.0892**	0.00409	-0.0505	0.00141	0.213***	-0.00283	0.0546	-0.0991**	0.0640	-0.0231
	(0.0364)	(0.0596)	(0.0536)	(0.0418)	(0.0661)	(0.0491)	(0.0482)	(0.0406)	(0.0397)	(0.0486)
sense_of_purpose	0.165***	0.125***	0.124***	0.119***	0.290**	0.0464	0.0366	0.0946**	0.173***	0.171***
	(0.0377)	(0.0471)	(0.0435)	(0.0411)	(0.119)	(0.0500)	(0.0440)	(0.0464)	(0.0373)	(0.0286)
										
Observations	615	621	620	624	624	619	622	625	626	621
R-squared	0.464	0.428	0.527	0.409	0.584	0.417	0.324	0.377	0.432	0.372
Standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
